Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	Y:\MS-data\2025\Jesus\dox\A1_20250325224911.mzML	Y:\MS-data\2025\Jesus\dox\A2.mzML	Y:\MS-data\2025\Jesus\dox\A3.mzML	Y:\MS-data\2025\Jesus\dox\A4.mzML	Y:\MS-data\2025\Jesus\dox\A5.mzML	Y:\MS-data\2025\Jesus\dox\B1.mzML	Y:\MS-data\2025\Jesus\dox\B2.mzML	Y:\MS-data\2025\Jesus\dox\B3.mzML	Y:\MS-data\2025\Jesus\dox\B4.mzML	Y:\MS-data\2025\Jesus\dox\B5.mzML	Y:\MS-data\2025\Jesus\dox\C1.mzML	Y:\MS-data\2025\Jesus\dox\C2.mzML	Y:\MS-data\2025\Jesus\dox\C3.mzML	Y:\MS-data\2025\Jesus\dox\C4.mzML	Y:\MS-data\2025\Jesus\dox\C5.mzML	Y:\MS-data\2025\Jesus\dox\D1.mzML	Y:\MS-data\2025\Jesus\dox\D2.mzML	Y:\MS-data\2025\Jesus\dox\D3.mzML	Y:\MS-data\2025\Jesus\dox\D4.mzML	Y:\MS-data\2025\Jesus\dox\D5.mzML	Y:\MS-data\2025\Jesus\dox\E1.mzML	Y:\MS-data\2025\Jesus\dox\E2.mzML	Y:\MS-data\2025\Jesus\dox\E3.mzML	Y:\MS-data\2025\Jesus\dox\E5.mzML	Y:\MS-data\2025\Jesus\dox\F1_20250325184234.mzML	Y:\MS-data\2025\Jesus\dox\F2.mzML	Y:\MS-data\2025\Jesus\dox\F3.mzML	Y:\MS-data\2025\Jesus\dox\F4.mzML	Y:\MS-data\2025\Jesus\dox\F5.mzML	Y:\MS-data\2025\Jesus\dox\G1.mzML	Y:\MS-data\2025\Jesus\dox\G2.mzML	Y:\MS-data\2025\Jesus\dox\G3.mzML	Y:\MS-data\2025\Jesus\dox\G4.mzML	Y:\MS-data\2025\Jesus\dox\G5.mzML	Y:\MS-data\2025\Jesus\dox\H1.mzML	Y:\MS-data\2025\Jesus\dox\H2.mzML	Y:\MS-data\2025\Jesus\dox\H3.mzML	Y:\MS-data\2025\Jesus\dox\H4.mzML	Y:\MS-data\2025\Jesus\dox\H5.mzML
Q16762	THTR_HUMAN	TST	Thiosulfate sulfurtransferase	8	8	1.61252e+06	1.55572e+06	1.68432e+06	2.25099e+06	975109	1.26451e+06	1.36784e+06	1.19904e+06	1.6453e+06	1.66111e+06	1.21048e+06	1.41143e+06	1.37163e+06		1.37791e+06	1.00336e+06	981425	912439	994430	954010	416840	341729	338499	405150	480882	402046	470575		299205	286916	370842	257928	371918	341146	271018	348473	368616	383752	639714
Q16763	UBE2S_HUMAN	UBE2S	Ubiquitin-conjugating enzyme E2 S	5	5	320491	279439	362960	424031	328951	349791	460016	383677	395294	475106	374301	323466	331128		372687	343906	414534	362562	233063	257554	263012	262063	253639	276610	299724	189935	294737		265569	201689	216336	205078	250079	215832	231475	217704	207812	177066	277571
Q16769	QPCT_HUMAN	QPCT	Glutaminyl-peptide cyclotransferase	1	1	1377.05		3675.4			2062.05	1472.7	1631.42	1674.29	875.155	2772.47	1725.41	1386.09		3303.73	2772.56	869.727	2974.12		2737	2277.48	1915.64	5160		4247.25	3497.7			7297.6	3262.75	3222.85		5510.04	4624.66	2400.77	6913.36	3537.44	1915.27	2461.62
Q16773	KAT1_HUMAN	KYAT1	Kynurenine--oxoglutarate transaminase 1	5	5	3.08635e+06	2.45365e+06	2.40205e+06	1.82775e+06	1.89229e+06	2.92659e+06	2.95786e+06	1.9024e+06	1.93047e+06	1.92484e+06	2.83452e+06	2.24114e+06	2.80032e+06		1.73687e+06	2.89687e+06	1.90206e+06	2.71556e+06	2.76548e+06	2.50306e+06	2.44476e+06	2.32385e+06	2.54846e+06	2.877e+06	2.15742e+06	2.22616e+06	2.089e+06	2.96122e+06	1.93196e+06	2.21962e+06	2.14291e+06	1.67098e+06	2.40078e+06	2.29575e+06	2.27304e+06	2.53291e+06	2.48565e+06	2.23015e+06	2.66065e+06
Q16774	KGUA_HUMAN	GUK1	Guanylate kinase	11	11	3.5384e+06	4.22092e+06	2.41746e+06	3.19368e+06	4.58957e+06	4.15159e+06	4.23492e+06	4.50964e+06	4.76e+06	3.81253e+06	4.28922e+06	4.05045e+06	5.01286e+06	3.33366e+06	4.94192e+06	4.74356e+06	4.79626e+06	4.89247e+06	4.69526e+06	5.50061e+06	4.51533e+06	4.48563e+06	4.39084e+06	5.21215e+06	4.30226e+06	3.88929e+06	4.08766e+06	4.42788e+06	6.06086e+06	4.23709e+06	3.90876e+06	3.65879e+06	4.31384e+06	4.41268e+06	4.35761e+06	4.2489e+06	4.61236e+06	5.03823e+06	4.57153e+06
Q16775	GLO2_HUMAN	HAGH	Hydroxyacylglutathione hydrolase, mitochondrial	10	10	5.87377e+06	8.67246e+06	4.1873e+06	5.71678e+06	7.82645e+06	7.54532e+06	8.0679e+06	6.80895e+06	6.05961e+06	6.31174e+06	9.50567e+06	6.93902e+06	6.69018e+06	6.80099e+06	6.45349e+06	9.60038e+06	8.19205e+06	8.41701e+06	8.13756e+06	9.91361e+06	1.25903e+07	1.22775e+07	1.16389e+07	1.56507e+07	1.25137e+07	1.11972e+07	1.12095e+07	1.62511e+07	1.32207e+07	1.14266e+07	1.03222e+07	1.0533e+07	1.29559e+07	1.36176e+07	1.08814e+07	1.21049e+07	1.2536e+07	1.44122e+07	1.37295e+07
Q16795	NDUA9_HUMAN	NDUFA9	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial	21	21	8.1111e+06	1.05392e+07	8.50638e+06	6.90584e+06	1.03979e+07	1.00296e+07	9.8483e+06	9.4633e+06	1.02586e+07	9.40859e+06	1.04017e+07	9.35275e+06	9.82998e+06	8.63439e+06	1.04917e+07	9.4563e+06	1.01648e+07	1.03048e+07	9.72394e+06	9.97075e+06	1.17826e+07	1.21039e+07	1.20763e+07	1.16297e+07	1.10926e+07	1.17397e+07	1.28014e+07	8.10325e+06	8.57823e+06	1.11977e+07	1.18206e+07	1.12559e+07	1.29394e+07	1.14343e+07	1.01981e+07	1.20843e+07	1.13602e+07	1.47339e+07	1.02735e+07
Q16798	MAON_HUMAN	ME3	NADP-dependent malic enzyme, mitochondrial	16	16	3.28172e+06	3.14657e+06	2.35562e+06	2.43767e+06	3.70837e+06	4.04738e+06	3.86775e+06	4.6044e+06	3.60196e+06	2.98323e+06	4.44528e+06	3.99531e+06	4.76407e+06	3.72246e+06	3.75918e+06	4.67027e+06	4.245e+06	4.31284e+06	4.3102e+06	4.56184e+06	4.86543e+06	5.19956e+06	4.65007e+06	4.23182e+06	4.2646e+06	4.63195e+06	4.48048e+06	2.27049e+06	3.32853e+06	4.6295e+06	4.98269e+06	4.39922e+06	5.30758e+06	4.56478e+06	4.25363e+06	4.3959e+06	4.40786e+06	5.87342e+06	3.24758e+06
Q16799	RTN1_HUMAN	RTN1	Reticulon-1	30	30	7.47057e+07	9.16236e+07	4.51628e+07	9.24012e+07	1.33611e+08	1.10026e+08	1.11916e+08	1.02908e+08	9.63574e+07	6.69943e+07	1.07926e+08	8.19145e+07	1.11093e+08	1.81203e+08	1.02081e+08	1.30505e+08	1.37019e+08	1.27824e+08	1.25613e+08	1.39132e+08	2.12953e+08	1.96799e+08	1.79068e+08	1.84664e+08	2.02296e+08	1.97528e+08	1.98644e+08	2.72959e+08	2.70008e+08	2.2078e+08	1.96307e+08	1.72411e+08	2.07761e+08	2.10538e+08	2.15447e+08	2.27513e+08	2.34601e+08	2.24663e+08	2.09955e+08
Q16822	PCKGM_HUMAN	PCK2	Phosphoenolpyruvate carboxykinase [GTP], mitochondrial	27	24	1.0535e+07	9.32766e+06	1.12441e+07	7.80802e+06	3.67083e+06	4.4899e+06	5.4608e+06	4.60819e+06	7.03456e+06	9.7385e+06	4.82638e+06	7.19917e+06	4.64661e+06	3.18961e+06	5.9437e+06	4.43352e+06	4.21469e+06	2.70874e+06	3.20671e+06	3.09404e+06	3.35271e+06	2.61283e+06	3.18333e+06	3.03006e+06	3.02227e+06	2.7018e+06	3.0089e+06	2.9534e+06	2.70017e+06	3.16664e+06	2.62903e+06	2.93635e+06	3.31837e+06	2.96485e+06	2.93248e+06	3.24309e+06	3.16227e+06	3.54094e+06	3.24396e+06
Q16825	PTN21_HUMAN	PTPN21	Tyrosine-protein phosphatase non-receptor type 21	4	4	97835.3	114042	91762.4	126351	72338.9	103615	103138	99705.2	122533	92171.7	91794.5	97747.8	75850.3		100401	122803	91095.7	84050.1	72815.6	83675	76094.7	53769.9	63797.6	96092.8		71323.8	36176.1			60071.7	61744	56344.4	49771.8	57032.7	91553		82889.6		70868.4
Q16827	PTPRO_HUMAN	PTPRO	Receptor-type tyrosine-protein phosphatase O	11	10	340710	358943	164753	454201	622281	570233	586683	432193	564888	268018	577341	369297	411896		546360	472087	714998	710933	531100	587569	1.178e+06	928321	883172	845240	999851	1.04757e+06	1.27077e+06	7.08194e+06	1.53339e+06	1.38056e+06	1.1803e+06	1.22011e+06	1.44327e+06	1.3724e+06	1.27447e+06	1.21216e+06	1.13528e+06	1.64777e+06	960816
Q16831	UPP1_HUMAN	UPP1	Uridine phosphorylase 1	8	8	127104	93609.5	138546	187993	68356.5	44822.7	47941.1	60112.8	79226.9	92325.5	70629.1	95548.5	68847.5		56601.1	38511.4	40159.5	36564.1	61687	48878.9	46514.7		35490			24636.6	32553.2				28255.6								35274.5
Q16832	DDR2_HUMAN	DDR2	Discoidin domain-containing receptor 2	2	2			36656.8						16316.8	22944					13792.7			7568.66																					
Q16836	HCDH_HUMAN	HADH	Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial	12	12	9.06272e+06	9.27571e+06	9.8231e+06	9.81835e+06	6.84508e+06	7.60132e+06	7.29463e+06	7.00505e+06	8.9511e+06	8.65588e+06	7.86696e+06	9.12035e+06	8.71531e+06	7.37478e+06	8.17376e+06	7.39095e+06	6.92235e+06	7.03214e+06	7.10412e+06	7.28289e+06	5.12876e+06	5.14293e+06	5.05333e+06	5.17051e+06	4.6871e+06	4.68886e+06	4.18168e+06	4.39557e+06	4.20276e+06	4.24692e+06	4.4454e+06	4.20769e+06	3.87052e+06	3.76001e+06	4.11136e+06	3.99134e+06	4.27811e+06	4.63513e+06	4.35103e+06
Q16842	SIA4B_HUMAN	ST3GAL2	CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase 2	1	1			14518.2		6624.76	6913.19	11284.9	7928.19	7012.27	7763.93	11814.5	13368.4	8827.8		5798.68	5470.44	9783.55	15476.4		10319.8	6475.18	6240.76	6897.42	6303.95	11411.7	7011.04	14289			8804.75	9500.3	7806.93		10710.1		3540.17	6636.24	16884.3	
Q16849	PTPRN_HUMAN	PTPRN	Receptor-type tyrosine-protein phosphatase-like N	4	4			6817.2		8339.07	16681.5	14989.7	8403.52	11444.6	10904.3	11346.1	7989.95	13097		6815.27	9080.63	16293.5	14109	14332.2	7612.25		9310.34	14879.3			11521.1	7910.12			10610.8	11723.4	12260.7	10054.6	14667.2	11713.2	10059.8	7116.41	16435.5	
Q16850	CP51A_HUMAN	CYP51A1	Lanosterol 14-alpha demethylase	19	19	5.49884e+06	5.97493e+06	4.03768e+06	5.24876e+06	4.14331e+06	5.03307e+06	4.4587e+06	4.38949e+06	5.06122e+06	4.45237e+06	4.52463e+06	4.98195e+06	5.96171e+06	4.79776e+06	5.19932e+06	5.15214e+06	4.57391e+06	4.34151e+06	4.96442e+06	5.50302e+06	5.37512e+06	5.29998e+06	4.94615e+06	5.63274e+06	4.64405e+06	4.79573e+06	4.81655e+06	3.17121e+06	5.05063e+06	5.3862e+06	4.75179e+06	4.72741e+06	5.16083e+06	4.77079e+06	4.91553e+06	5.10362e+06	5.87502e+06	5.76023e+06	7.05669e+06
Q16851	UGPA_HUMAN	UGP2	UTP--glucose-1-phosphate uridylyltransferase	27	27	2.275e+07	2.46564e+07	1.76055e+07	2.50279e+07	2.39578e+07	2.25234e+07	2.27346e+07	2.15972e+07	2.12927e+07	2.06668e+07	2.49544e+07	2.26225e+07	2.36551e+07	2.78796e+07	2.20453e+07	2.38733e+07	2.421e+07	2.38738e+07	2.44227e+07	2.56092e+07	3.1058e+07	3.19818e+07	3.09354e+07	3.1865e+07	2.92538e+07	2.78257e+07	2.84792e+07	5.55573e+07	3.44627e+07	2.98585e+07	2.85225e+07	2.7372e+07	3.10309e+07	2.90012e+07	2.90567e+07	2.96178e+07	3.143e+07	3.82567e+07	3.46417e+07
Q16854	DGUOK_HUMAN	DGUOK	Deoxyguanosine kinase, mitochondrial	8	8	3.77007e+06	3.36875e+06	2.32174e+06	4.15116e+06	2.78851e+06	3.35104e+06	3.56669e+06	3.1113e+06	3.04546e+06	2.95099e+06	3.52583e+06	2.89414e+06	3.49609e+06	3.18818e+06	2.96653e+06	3.57993e+06	3.20858e+06	3.31723e+06	3.07915e+06	3.26309e+06	3.12032e+06	3.27145e+06	3.24094e+06	3.16925e+06	2.67476e+06	2.35935e+06	2.73138e+06	2.42135e+06	2.9298e+06	2.84233e+06	2.91029e+06	2.95092e+06	3.26428e+06	2.55862e+06	2.88555e+06	2.97578e+06	2.92284e+06	3.94729e+06	3.2755e+06
Q16864	VATF_HUMAN	ATP6V1F	V-type proton ATPase subunit F	5	5	2.36873e+06	3.1904e+06	2.39136e+06	2.60572e+06	2.1743e+06	3.11699e+06	3.19276e+06	3.44074e+06	3.2374e+06	3.13534e+06	3.25097e+06	2.76957e+06	3.4203e+06		2.37275e+06	3.36391e+06	3.05419e+06	3.49959e+06	3.43646e+06	3.46538e+06	4.00456e+06	4.01151e+06	4.10288e+06	4.02441e+06	3.55331e+06	3.63504e+06	3.92976e+06	1.25559e+07	5.58216e+06	3.90589e+06	3.85968e+06	3.70732e+06	2.85277e+06	4.32897e+06	3.69946e+06	4.93843e+06	4.9176e+06	6.37792e+06	4.83502e+06
Q16875	F263_HUMAN	PFKFB3	6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 3	8	8	156676	141290	179117	228830	79841.8	64737	110203	66433.9	113184	218004	75904.2	159273	106764		100652	71342.9	84886.2	45074	80853.2	89402.6	34334.3	59636.5	64647.3	52442.6	50020.7	45837.4	48522.6		43615.9	59976	73689.5	66187.1	77958.2	74236.7	46748.1	82888.1	54085.9	98334	96567.8
Q16877	F264_HUMAN	PFKFB4	6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 4	9	8	796410	787287	632563	903576	1.21496e+06	1.04678e+06	1.02151e+06	968023	874601	706380	1.07001e+06	706613	971444		776852	1.09081e+06	1.4815e+06	1.33622e+06	1.14881e+06	1.16433e+06	1.30115e+06	1.40435e+06	1.20236e+06	1.04766e+06	1.1401e+06	1.29203e+06	1.38086e+06	1.67343e+06	1.56002e+06	1.58906e+06	1.25033e+06	1.24201e+06	1.3159e+06	933269	1.30975e+06	1.59681e+06	1.38471e+06	1.69228e+06	1.45105e+06
Q16881	TRXR1_HUMAN	TXNRD1	Thioredoxin reductase 1, cytoplasmic	20	19	1.2725e+07	1.5184e+07	9.61061e+06	1.18238e+07	1.29318e+07	1.3061e+07	1.31016e+07	1.06869e+07	1.18375e+07	1.21532e+07	1.38122e+07	1.23674e+07	1.19398e+07	1.55846e+07	1.282e+07	1.34299e+07	1.23977e+07	1.28321e+07	1.18454e+07	1.40745e+07	1.4643e+07	1.37515e+07	1.45845e+07	1.61073e+07	1.3316e+07	1.28503e+07	1.39518e+07	2.31418e+07	1.63775e+07	1.23937e+07	1.33138e+07	1.27138e+07	1.47414e+07	1.37901e+07	1.14606e+07	1.33967e+07	1.27447e+07	1.4403e+07	1.2597e+07
Q16890	TPD53_HUMAN	TPD52L1	Tumor protein D53	5	5	1.34117e+06	1.55013e+06	637834	814854	1.99923e+06	1.77273e+06	1.80016e+06	1.73888e+06	1.65892e+06	1.50799e+06	2.00263e+06	1.37518e+06	1.45084e+06		1.80953e+06	1.99095e+06	2.05291e+06	2.10557e+06	1.86427e+06	2.16367e+06	2.06981e+06	2.23907e+06	2.4588e+06	2.12846e+06	2.35621e+06	2.04085e+06	2.57992e+06	2.11817e+06	2.70175e+06	2.14313e+06	1.96807e+06	2.41581e+06	2.46458e+06	2.55542e+06	1.88e+06	2.22723e+06	2.07094e+06	2.10735e+06	1.77453e+06
Q16891	MIC60_HUMAN	IMMT	MICOS complex subunit MIC60	49	49	1.79048e+07	2.1461e+07	1.66179e+07	2.05793e+07	2.08177e+07	1.97911e+07	2.09893e+07	1.93394e+07	1.93431e+07	1.94562e+07	2.05589e+07	2.09034e+07	2.14344e+07	2.60024e+07	1.97846e+07	2.00476e+07	1.93444e+07	1.97904e+07	2.22361e+07	2.01083e+07	2.61648e+07	2.64886e+07	2.68842e+07	2.44476e+07	2.36592e+07	2.58255e+07	2.56977e+07	1.6619e+07	2.13626e+07	2.51053e+07	2.46013e+07	2.52578e+07	2.87702e+07	2.54016e+07	2.42111e+07	2.54108e+07	2.56752e+07	3.2035e+07	2.48153e+07
Q17R31	TATD3_HUMAN	TATDN3	Putative deoxyribonuclease TATDN3	7	7	132473	104590	98553.6		183539	156457	204865	136592	174139	129640	191773	135930	192824		164963	181264	200246	245164	143096	157156	185930	206864	196218	151715	185580	158732	174844		119833	198810	184292	176578	153402	164978	218270	187407	218313	224529	142800
Q17R89	RHG44_HUMAN	ARHGAP44	Rho GTPase-activating protein 44	6	6	170208	153548	124222	138487	252951	206963	232958	250085	313322	225551	324381	238003	234928	350121	247582	204648	334504	295418	271367	236953	271616	349794	355771	213498	323689	335464	341893	506357	216836	337889	287514	206675	306751	331643	394924	283269	303449	336096	254354
Q17R98	ZN827_HUMAN	ZNF827	Zinc finger protein 827	5	5	132336	155859	189971	183804	129231	150611	107792	79284.1	161744	153178	128021	141033	99801.1		119215	119982	102405	107238	129755	61659.2	87198.4	118840	58263	78399.9	117065	81716.7	90384.5			79304.6	79661.3	84653.3	63343	83947.7	97509.5	70154.1	56727.1	84846.9	56037.4
Q17RD7	SYT16_HUMAN	SYT16	Synaptotagmin-16	2	2	2790.19				3109.22	3821.29	4937.92	5490.52	2020.86	1877.41	4438.49	3059.56	4622.62		4752.65	2545.74	5583.61	4989.37		4155.09	4507.84	3056.57	4677.95	7073.32	7100.71	5460.68	6130.37		3632.35	3464.27	3430.86	5204.62	3985.79	5665.64	4758.22	3199.26	7426.38	6482.55	5094.77
Q17RN3	FA98C_HUMAN	FAM98C	Protein FAM98C	7	7	158268	214270	187088	233272	182369	175939	231077	241601	216400	238399	218047	283096	246070		287972	221997	200377	222306	208892	168499	157954	178512	186685	184053	175766	184996	166369		122622	155567	182675	106692	138482	165235	207145	133779	151903	164454	174080
Q17RS7	GEN_HUMAN	GEN1	Flap endonuclease GEN homolog 1	1	1									187748			117710																											
Q17RY0	CPEB4_HUMAN	CPEB4	Cytoplasmic polyadenylation element-binding protein 4	20	15	1.13719e+06	1.57752e+06	751765	859841	2.3708e+06	2.13498e+06	2.37043e+06	2.36272e+06	2.12595e+06	1.54447e+06	2.19757e+06	1.6297e+06	2.30658e+06	1.46074e+06	2.14079e+06	2.57583e+06	2.72554e+06	2.57291e+06	2.5682e+06	2.59954e+06	4.04549e+06	4.47448e+06	3.92632e+06	3.30274e+06	4.18847e+06	4.10064e+06	4.24175e+06	1.49739e+06	2.77181e+06	4.19353e+06	4.19241e+06	4.1709e+06	3.99357e+06	3.60542e+06	3.97332e+06	4.31388e+06	4.00867e+06	3.99224e+06	3.25158e+06
Q1ED39	KNOP1_HUMAN	KNOP1	Lysine-rich nucleolar protein 1	17	17	1.02893e+06	750476	987316	709058	789692	780048	920193	628147	716517	891187	745141	861420	695447		690866	753797	761798	650201	903822	767672	756808	602184	683634	770263	738551	612104	742546			723857	613932	637013	693535	525390	732844	723399	780723	774463	852127
Q1KMD3	HNRL2_HUMAN	HNRNPUL2	Heterogeneous nuclear ribonucleoprotein U-like protein 2	36	36	2.26277e+07	2.73824e+07	2.20695e+07	2.31977e+07	2.72991e+07	2.6004e+07	2.6896e+07	2.75215e+07	2.80791e+07	2.58442e+07	2.59454e+07	2.81673e+07	2.80138e+07	2.93645e+07	2.57397e+07	2.38653e+07	2.25551e+07	2.20051e+07	2.65089e+07	2.19876e+07	2.70623e+07	2.96458e+07	2.6607e+07	2.69647e+07	2.89006e+07	2.89435e+07	2.77021e+07	1.08529e+07	1.52979e+07	2.72259e+07	2.75177e+07	2.60776e+07	3.01428e+07	2.48318e+07	2.75725e+07	2.66127e+07	2.57435e+07	2.15184e+07	2.28033e+07
Q1L5Z9	LONF2_HUMAN	LONRF2	LON peptidase N-terminal domain and RING finger protein 2	25	25	1.00542e+06	977078	807724	986726	1.15106e+06	1.16005e+06	1.28624e+06	1.13211e+06	1.03548e+06	938181	1.27306e+06	1.28936e+06	1.33611e+06	1.21485e+06	1.06282e+06	1.27215e+06	1.27256e+06	1.29664e+06	1.23228e+06	1.27783e+06	1.16518e+06	1.23073e+06	1.33722e+06	1.04258e+06	998888	1.0281e+06	1.22096e+06	1.16058e+06	1.01398e+06	1.19103e+06	1.16161e+06	1.1674e+06	1.21073e+06	1.21007e+06	1.16202e+06	1.22492e+06	1.08291e+06	1.55387e+06	918558
Q1RMZ1	SAMTR_HUMAN	BMT2	S-adenosylmethionine sensor upstream of mTORC1	2	2			9793	10582.9	12079	7281.26	7100.81	4918.69	7511.28	8406.23		8219.07	5471.14		9978.41	5716.9	8101.27	6054.68	4111.96		8976.98	3804.6									7019.3	5959.4			5089.16	5539.22			
Q24JP5	T132A_HUMAN	TMEM132A	Transmembrane protein 132A	20	20	1.43467e+06	1.45444e+06	1.31408e+06	1.68265e+06	2.06286e+06	1.61089e+06	1.92049e+06	1.84689e+06	1.90699e+06	1.5859e+06	1.7789e+06	1.7253e+06	2.11195e+06	2.1115e+06	1.85913e+06	1.84282e+06	2.18896e+06	2.0853e+06	1.94566e+06	1.62454e+06	3.06386e+06	3.40657e+06	2.76155e+06	2.79437e+06	3.21163e+06	3.47961e+06	3.33022e+06	2.52889e+07	4.13691e+06	3.09615e+06	3.46305e+06	3.39292e+06	3.63074e+06	3.89985e+06	3.22506e+06	3.34236e+06	3.15696e+06	3.53558e+06	2.48738e+06
Q27J81	INF2_HUMAN	INF2	Inverted formin-2	30	30	1.50737e+06	1.53637e+06	1.82886e+06	1.69366e+06	943527	1.01783e+06	1.05709e+06	1.00962e+06	1.39966e+06	1.58096e+06	944450	1.67828e+06	1.30565e+06		1.25471e+06	986591	760798	889480	1.15316e+06	949782	569783	564976	516816	638906	477063	459938	447562	625067	369650	483391	524950	463797	432276	458626	554935	369666	443310	406507	658415
Q29RF7	PDS5A_HUMAN	PDS5A	Sister chromatid cohesion protein PDS5 homolog A	47	47	2.44362e+06	2.36797e+06	2.61282e+06	3.11976e+06	1.92921e+06	2.21407e+06	2.14592e+06	1.95942e+06	2.51332e+06	2.75789e+06	2.06491e+06	2.56541e+06	2.12091e+06	1.0993e+06	2.26173e+06	1.95767e+06	1.97041e+06	1.96265e+06	2.02829e+06	1.61129e+06	1.1474e+06	1.1108e+06	1.12878e+06	1.20404e+06	1.13096e+06	1.15647e+06	980909	1.09814e+06	843845	961708	990855	1.05488e+06	951408	852596	995550	922560	1.02002e+06	806366	1.07463e+06
Q2KHR2	RFX7_HUMAN	RFX7	DNA-binding protein RFX7	3	3	17099.6	29363.1	14837.3		14124.9	16680.6		16861	16075.1	17644.7	21583.1	12942.8	13733.9		17259	12760.9	15141.8	12459.6	30511.5	13174	11881.9		6996.61		11184.6		9138.65				9656.71		24263.1	9624.66					
Q2KHR3	QSER1_HUMAN	QSER1	Glutamine and serine-rich protein 1	11	11	84043.2	62782.2	77674.3	50127.5	37805	61804.2	64984	55427.5	70065.2	65691.5	94582	86451.2	67210.2		67117.5	49749.2	64120.3	60123.6	63657.5	37092.3	30932	31396.9		34354.3	31945.1	32809.7	29071.8			30274.4	37866.6	27210.8	31344.1		26144.4		32233.5		35012.2
Q2KHT3	CL16A_HUMAN	CLEC16A	Protein CLEC16A	12	12	325305	250976	296349	299791	315897	334250	341272	329849	265292	260456	378725	360494	322183		307480	389582	279963	285091	366970	286360	365084	352982	310587	300264	325815	351168	281719	322037	269445	361469	356242	360029	427897	269810	338168	271773	381094	348399	309805
Q2KJY2	KI26B_HUMAN	KIF26B	Kinesin-like protein KIF26B	25	24	311097	336488	215814	254892	489388	417974	443495	482364	467188	349912	477657	434599	499480		473483	493461	464791	457422	431298	592065	480508	461453	415587	502834	365516	407303	435584	728567	271161	430681	429945	449205	491591	493519	427810	457810	358965	461480	509774
Q2LD37	BLTP1_HUMAN	BLTP1	Bridge-like lipid transfer protein family member 1	47	47	476863	436623	352048	493276	625481	561913	485767	529987	513697	363902	551797	489144	511190	517370	491147	541364	569132	549086	592750	509203	749419	700975	749876	598253	653013	651929	690358	692163	531825	617217	644071	613252	818379	694132	712060	701447	656259	1.0022e+06	584557
Q2M1K9	ZN423_HUMAN	ZNF423	Zinc finger protein 423	3	3	295018	317675	225727	238052	213179	294922	232594	310746	346535	275671	367532	247262	250096		261364	305983	283017	231622	216659	156177	237794	191410	207908	171100	91045.6	177521	80093.7			127399	137820	118128			226983	108729	84268.7		167347
Q2M1P5	KIF7_HUMAN	KIF7	Kinesin-like protein KIF7	13	13	1.97508e+06	1.89751e+06	2.12756e+06	1.58009e+06	1.91488e+06	2.18762e+06	1.55203e+06	1.99958e+06	2.1877e+06	2.31393e+06	1.7368e+06	2.37358e+06	1.56095e+06		1.95521e+06	1.95546e+06	1.71839e+06	1.91499e+06	1.81498e+06	2.14545e+06	1.8833e+06	1.86516e+06	1.9826e+06	1.80156e+06	1.57583e+06	1.58862e+06	1.90853e+06	2.18271e+06	1.08602e+06	1.84537e+06	1.63749e+06	1.42507e+06	2.20141e+06	1.50727e+06	1.87704e+06	1.90662e+06	1.91363e+06	1.70414e+06	1.57837e+06
Q2M296	MTHSD_HUMAN	MTHFSD	Methenyltetrahydrofolate synthase domain-containing protein	6	6	362828	331629	484338	370807	315103	423957	373527	232936	444352	501645	389006	582713	395726		417734	458832	365075	386664	435321	382517	208998	217613	208974	233235	299655	294119	266126			226552	263891	221870	195488	116558	206833		191447	162870	185086
Q2M2I8	AAK1_HUMAN	AAK1	AP2-associated protein kinase 1	30	28	2.82981e+06	3.3103e+06	2.01125e+06	2.43312e+06	3.55386e+06	3.42189e+06	3.32799e+06	3.51542e+06	3.15712e+06	2.7274e+06	3.73601e+06	3.11131e+06	3.46318e+06	3.26998e+06	3.35545e+06	3.87724e+06	3.67497e+06	3.4632e+06	3.89133e+06	4.12405e+06	4.40778e+06	4.34008e+06	4.55761e+06	4.5077e+06	4.15541e+06	4.29296e+06	4.22538e+06	6.91195e+06	4.12177e+06	4.2893e+06	3.84981e+06	4.36332e+06	5.10812e+06	4.07348e+06	4.45457e+06	4.46874e+06	4.49959e+06	5.59178e+06	4.3058e+06
Q2M389	WASC4_HUMAN	WASHC4	WASH complex subunit 4	35	35	2.51395e+06	2.64094e+06	2.13843e+06	2.44608e+06	2.28715e+06	2.32021e+06	2.3695e+06	2.19169e+06	2.45464e+06	2.5034e+06	2.29529e+06	2.39171e+06	2.33389e+06	2.05609e+06	2.38466e+06	2.08269e+06	2.29067e+06	2.15812e+06	2.19935e+06	1.99781e+06	2.38324e+06	2.45802e+06	2.34168e+06	2.1943e+06	2.4092e+06	2.42581e+06	2.30526e+06	2.32571e+06	2.32174e+06	2.30178e+06	2.3384e+06	2.30262e+06	2.5044e+06	2.07535e+06	2.20716e+06	2.36227e+06	2.43233e+06	2.56681e+06	2.19252e+06
